NAME,year,month,avg_pm25,max_pm25,std_pm25,days_above_35,obs_count,pm25_lag1,pm25_lag2,pm25_rolling3,days_above_lag1,month_sin,month_cos,next_month_pm25,label_next_month_pm25
Sacramento,2016,7,5.922803302857142,14.708333,2.623972696693605,0,175,6.07970707051282,4.869138751445087,4.974896839877442,0.0,-0.4999999999999998,-0.8660254037844388,7.556869094444445,0
Sacramento,2016,8,7.556869094444445,13.666667,2.559313486565672,0,180,5.922803302857142,6.07970707051282,5.6238830416050165,0.0,-0.8660254037844384,-0.5000000000000004,8.699020067073171,0
Sacramento,2016,9,8.699020067073171,18.9,2.6699175213379416,0,164,7.556869094444445,5.922803302857142,6.519793155938136,0.0,-1.0,-1.8369701987210297e-16,5.735953195804196,0
Sacramento,2016,10,5.735953195804196,11.5,2.0647770523063342,0,143,8.699020067073171,7.556869094444445,7.392897488124919,0.0,-0.8660254037844386,0.5000000000000001,9.38730854819277,0
Sacramento,2016,11,9.38730854819277,24.7,4.520287598767559,0,166,5.735953195804196,8.699020067073171,7.330614119107271,0.0,-0.5000000000000004,0.8660254037844384,13.862420532163744,1
Sacramento,2016,12,13.862420532163744,46.8,7.913041652984564,3,171,9.38730854819277,5.735953195804196,7.9407606036900455,0.0,-2.4492935982947064e-16,1.0,8.089480751445087,0
Sacramento,2017,1,8.089480751445087,25.3,5.677879221823878,0,173,13.862420532163744,9.38730854819277,9.66189409205357,3.0,0.49999999999999994,0.8660254037844387,5.4509287468354435,0
Sacramento,2017,2,5.4509287468354435,27.0,4.217241158266014,0,158,8.089480751445087,13.862420532163744,10.446403277267201,0.0,0.8660254037844386,0.5000000000000001,5.217639936416185,0
Sacramento,2017,3,5.217639936416185,14.3,2.3722235244086236,0,173,5.4509287468354435,8.089480751445087,9.134276676814759,0.0,1.0,6.123233995736766e-17,4.571563257309942,0
Sacramento,2017,4,4.571563257309942,9.5,1.7769973959126386,0,171,5.217639936416185,5.4509287468354435,6.2526831448989055,0.0,0.8660254037844387,-0.49999999999999983,5.271530222222222,0
Sacramento,2017,5,5.271530222222222,10.208333,2.042893719362278,0,207,4.571563257309942,5.217639936416185,5.08004398018719,0.0,0.49999999999999994,-0.8660254037844387,6.129500482142857,0
