NAME,year,month,avg_pm25,max_pm25,std_pm25,days_above_35,obs_count
Riverside,2018,11,10.013904390532545,34.4,7.146060730001048,0,338
Riverside,2018,12,9.848700318766067,64.8,10.429215929925261,15,389
Riverside,2019,1,7.875619897849463,36.4,7.809562092989358,3,372
Riverside,2019,2,6.470944822888283,21.8,4.595939205746529,0,367
Riverside,2019,3,5.849387266247379,20.2,3.886640048930871,0,477
Riverside,2019,4,7.114366013972056,21.5,3.938042746748429,0,501
Riverside,2019,5,7.461271021912351,22.0,4.38972612527468,0,502
Riverside,2019,6,10.634125628803245,23.833333,4.576000047978182,0,493
Riverside,2019,7,11.17589022095238,58.295833,6.223491342992525,6,525
Riverside,2019,8,9.348020133587786,19.952381,3.324844088582049,0,524
Riverside,2019,9,8.48087523076923,17.916667,3.330073891064911,0,507
Riverside,2019,10,8.199276340344168,26.6,4.6994364823612464,0,523
Riverside,2019,11,9.799391594142259,46.7,9.571997352144042,16,478
Riverside,2019,12,6.8259550077220075,38.1,6.1124650355011125,1,518
Riverside,2020,1,9.063419667247386,40.3,7.69646967500284,5,574
Riverside,2020,2,8.349733388170055,36.4,6.5909077827683396,1,541
Riverside,2020,3,4.498614863636363,18.1,2.901951749515791,0,594
Riverside,2020,4,6.613321645714286,19.541667,4.277697921762221,0,525
Riverside,2020,5,9.378274075601375,23.375,4.833394482012286,0,582
Riverside,2020,6,9.218847068965518,30.1,4.482705097768054,0,551
Riverside,2020,7,11.165449194881889,36.291667,4.7472111441458855,2,508
Riverside,2020,8,12.172067283557046,25.458333,3.93407618079121,0,596
Riverside,2020,9,17.514709993006992,64.875,11.657860516617951,50,572
Riverside,2020,10,15.524292188135593,49.875,8.94566590132066,21,590
Riverside,2020,11,10.520875494296579,37.041667,7.2386326676181385,3,526
Riverside,2020,12,8.928902931608134,36.809524,7.161198580805757,2,541
Sacramento,2015,1,22.036794807909605,54.5,9.611996841903524,14,177
Sacramento,2015,2,10.690139241830066,31.958333,6.2309338800820955,0,153
Sacramento,2015,3,6.383744097142857,13.5,2.608755115369985,0,175
Sacramento,2015,4,5.471824636363636,16.541667,2.8735336750022666,0,143
Sacramento,2015,5,6.463485965317919,12.1,2.21621153518137,0,173
Sacramento,2015,6,7.153775277777777,15.5,3.2662430761473242,0,108
Sacramento,2015,7,6.36842161452514,11.5,2.1443335905268412,0,179
Sacramento,2015,8,8.179193443181818,24.166667,4.8265461467260655,0,176
Sacramento,2015,9,7.673881867549668,38.125,5.568560192628404,4,151
Sacramento,2015,10,6.4749448,19.521739,4.087200922921089,0,165
Sacramento,2015,11,9.031116136645963,30.3,6.626850479550555,0,161
Sacramento,2015,12,8.327264877906977,30.7,5.508466865747476,0,172
Sacramento,2016,1,6.591416367231639,26.7,6.029394966808852,0,177
Sacramento,2016,2,6.66174090797546,18.1,4.0813232712646395,0,163
Sacramento,2016,3,3.3052464802259887,10.3,2.087090732005266,0,177
Sacramento,2016,4,3.9758446976744186,10.8,2.3164379086552587,0,172
Sacramento,2016,5,4.869138751445087,10.4,2.6071177814616964,0,173
Sacramento,2016,6,6.07970707051282,21.583333,3.5004394532425476,0,156
Sacramento,2016,7,5.922803302857142,14.708333,2.623972696693605,0,175
Sacramento,2016,8,7.556869094444445,13.666667,2.559313486565672,0,180
Sacramento,2016,9,8.699020067073171,18.9,2.6699175213379416,0,164
Sacramento,2016,10,5.735953195804196,11.5,2.0647770523063342,0,143
Sacramento,2016,11,9.38730854819277,24.7,4.520287598767559,0,166
Sacramento,2016,12,13.862420532163743,46.8,7.913041652984564,3,171
Sacramento,2017,1,8.089480751445087,25.3,5.677879221823878,0,173
Sacramento,2017,2,5.4509287468354435,27.0,4.217241158266014,0,158
Sacramento,2017,3,5.217639936416185,14.3,2.3722235244086236,0,173
Sacramento,2017,4,4.571563257309942,9.5,1.7769973959126386,0,171
Sacramento,2017,5,5.271530222222222,10.208333,2.042893719362278,0,207
Sacramento,2017,6,6.129500482142857,14.25,3.6017191865677183,0,224
Sacramento,2017,7,9.525985312217195,36.791667,3.9152398489463964,2,221
Sacramento,2017,8,12.796048396624473,22.541667,3.558190176613085,0,237
Sacramento,2017,9,12.191142896995707,46.9,8.889658059529117,5,233
Sacramento,2017,10,10.536526835680752,42.0,6.781354763978278,1,213
Sacramento,2017,11,7.721048713043478,27.1,5.585429116124673,0,230
Sacramento,2017,12,13.652503302521009,40.3,8.73600947049697,5,238
Sacramento,2018,1,11.223521384615385,42.7,6.30357435826428,3,234
Sacramento,2018,2,8.970654550724639,32.8,4.891749353036648,0,207
Sacramento,2018,3,5.494744995370371,13.333333,2.612913187324518,0,216
Sacramento,2018,4,6.823216008695653,18.608696,3.041972876966309,0,230
Sacramento,2018,5,6.565925204347826,13.166667,2.7385246304849087,0,230
Sacramento,2018,6,8.331748847826086,14.958333,2.631624602683981,0,230
Sacramento,2018,7,9.711304620833333,25.916667,5.473231879389513,0,240
Sacramento,2018,8,20.797141114893616,45.916667,9.325073289926825,16,235
Sacramento,2018,9,9.151371217391304,19.625,4.144541087932532,0,230
Sacramento,2018,10,6.049185058823529,15.9,2.745528447222506,0,221
Sacramento,2018,11,28.82131872072072,228.4,42.722443091718795,53,222
Sacramento,2018,12,10.886104369294605,30.3,6.917666774020821,0,241
Sacramento,2019,1,10.058862820083682,41.4,8.392413385213068,3,239
Sacramento,2019,2,3.271313212962963,12.8,2.473724764386983,0,216
Sacramento,2019,3,3.8136576329113923,10.5,2.0295414073708318,0,237
Sacramento,2019,4,5.332902021459227,15.833333,3.583696798152265,0,233
Sacramento,2019,5,5.940999518518518,11.583333,2.566189511142551,0,216
Sacramento,2019,6,6.410495447368421,14.666667,2.6542296109072243,0,228
Sacramento,2019,7,6.462892054726368,22.4,3.1378773154149044,0,201
Sacramento,2019,8,5.3536307863247865,14.3,2.4697327066888124,0,117
Sacramento,2019,9,4.530857890909091,18.0,2.86510791839898,0,110
Sacramento,2019,10,8.045451820754717,21.0,4.310622909738292,0,106
Sacramento,2019,11,10.737157383928572,25.7,5.9052347178266125,0,112
Sacramento,2019,12,8.059249018181818,29.6,5.4421448027950765,0,110
Sacramento,2020,1,11.028578427350427,30.2,6.779062966433493,0,117
Sacramento,2020,2,9.86430989719626,27.5,5.159570580675848,0,107
Sacramento,2020,3,4.864903717948717,12.7,2.962744242232123,0,117
Sacramento,2020,4,4.613332625,8.4,1.6575999740350371,0,104
Sacramento,2020,5,4.538059792792793,9.0,1.5100936850180713,0,111
Sacramento,2020,6,6.247681145454545,56.3,5.49517134269282,1,110
Sacramento,2020,7,7.747381413793104,64.0,5.7972736423457425,1,116
Sacramento,2020,8,25.399097403508772,97.5,25.429661480396764,28,114
Sacramento,2020,9,36.99767726785715,147.3,35.64728713149521,37,112
Sacramento,2020,10,19.585833311926603,76.8,16.80511831521602,12,109
Sacramento,2020,11,11.829596285714286,39.1,7.831374916877591,3,105
Sacramento,2020,12,12.200953443137255,32.5,6.235568117969672,0,255
San Benito,2015,1,5.516199161290323,12.75,2.5770454885353815,0,62
San Benito,2015,2,4.999598892857143,14.652174,3.2638847699644593,0,56
San Benito,2015,3,3.8986749344262295,8.875,2.005894249551796,0,61
San Benito,2015,4,3.4524753166666664,7.333333,2.0436462038299816,0,60
San Benito,2015,5,3.8636044838709678,8.041667,2.081650923376733,0,62
San Benito,2015,6,4.989676650000001,10.333333,2.6663619528702003,0,60
San Benito,2015,7,3.321234951612903,7.166667,1.9656687584601105,0,62
San Benito,2015,8,6.097381037037037,23.3,5.078769017251117,0,54
