NAME,year,month,fire_count,avg_frp
Calaveras,2019,12,11,3.411818181818182
Calaveras,2020,1,14,6.688571428571429
Calaveras,2020,2,29,4.077241379310345
Calaveras,2020,3,11,5.0636363636363635
Calaveras,2020,4,19,5.977368421052631
Calaveras,2020,5,7,4.908571428571428
Calaveras,2020,6,65,5.525384615384616
Calaveras,2020,7,5,9.065999999999999
Calaveras,2020,8,41,1.5743902439024389
Calaveras,2020,10,2,11.25
Calaveras,2020,11,5,2.604
Calaveras,2020,12,16,7.311249999999999
Colusa,2015,1,21,5.718571428571429
Colusa,2015,2,26,14.55
Colusa,2015,3,111,8.396396396396396
Colusa,2015,4,22,4.513636363636364
Colusa,2015,5,17,18.57764705882353
Colusa,2015,6,10,6.392
Colusa,2015,7,3,1.9933333333333334
Colusa,2015,8,288,8.643194444444445
Colusa,2015,9,23,11.216956521739132
Colusa,2015,10,190,16.45684210526316
Colusa,2015,11,54,14.001481481481482
Colusa,2015,12,7,9.047142857142857
Colusa,2016,1,1,3.91
Colusa,2016,2,45,9.450888888888889
Colusa,2016,3,14,10.057857142857143
Colusa,2016,4,36,5.780555555555555
Colusa,2016,5,8,8.67375
Colusa,2016,6,11,10.753636363636362
Colusa,2016,7,49,11.592653061224489
Colusa,2016,8,24,25.977500000000003
Colusa,2016,9,40,8.722249999999999
Colusa,2016,10,86,13.96674418604651
Colusa,2016,11,84,8.87202380952381
Colusa,2017,1,2,1.985
Colusa,2017,2,1,2.75
Colusa,2017,3,20,3.31
Colusa,2017,4,69,5.9571014492753624
Colusa,2017,5,30,6.137333333333333
Colusa,2017,6,42,5.662619047619048
Colusa,2017,7,28,11.112142857142857
Colusa,2017,8,11,10.875454545454545
Colusa,2017,9,29,5.330689655172414
Colusa,2017,10,191,11.472094240837697
Colusa,2017,11,48,13.32875
Colusa,2017,12,70,12.971714285714285
Colusa,2018,1,6,3.0583333333333336
Colusa,2018,2,88,7.105
Colusa,2018,3,50,5.5162
Colusa,2018,4,25,6.5152
Colusa,2018,5,27,9.322962962962963
Colusa,2018,6,20,17.0855
Colusa,2018,7,26,7.388846153846154
Colusa,2018,8,2566,22.09263834762276
Colusa,2018,9,29,12.806206896551725
Colusa,2018,10,126,14.77031746031746
Colusa,2018,11,34,5.373235294117647
Colusa,2018,12,21,17.583333333333332
Colusa,2019,1,6,4.048333333333333
Colusa,2019,2,11,4.658181818181818
Colusa,2019,3,13,5.718461538461539
Colusa,2019,4,48,8.233958333333334
Colusa,2019,5,18,8.315
Colusa,2019,6,26,9.08423076923077
Colusa,2019,7,22,13.503181818181817
Colusa,2019,8,5,4.351999999999999
Colusa,2019,9,15,17.505999999999997
Colusa,2019,10,120,12.622416666666668
Colusa,2019,11,151,13.750993377483445
Colusa,2019,12,3,2.2466666666666666
Colusa,2020,1,15,4.554666666666666
Colusa,2020,2,110,11.026545454545456
Colusa,2020,3,47,6.990851063829787
Colusa,2020,4,38,6.793157894736842
Colusa,2020,5,3,5.576666666666667
Colusa,2020,6,16,10.009375
Colusa,2020,7,21,8.375238095238094
