NAME,year,month,fire_count,avg_frp,next_month_fire,label_next_month,fire_last_1,fire_last_2,frp_last_1,month_sin,month_cos,fire_rolling_3,county_id,event_date,row_id
Alameda,2020,5,8,0.50875,11.0,,10.0,3.0,15.771999999999997,0.4999999999999999,-0.8660254037844387,7.0,0,2020-05-01,60
Alameda,2020,6,11,1.1581818181818182,19.0,,8.0,10.0,0.50875,1.2246467991473532e-16,-1.0,9.666666666666666,0,2020-06-01,61
Alameda,2020,7,19,3.347368421052632,981.0,,11.0,8.0,1.1581818181818182,-0.4999999999999998,-0.8660254037844388,12.666666666666666,0,2020-07-01,62
Alameda,2020,8,981,14.061926605504588,13.0,,19.0,11.0,3.347368421052632,-0.8660254037844384,-0.5000000000000004,337.0,0,2020-08-01,63
Alameda,2020,9,13,16.959230769230768,13.0,,981.0,19.0,14.061926605504588,-1.0,-1.8369701987210294e-16,337.6666666666667,0,2020-09-01,64
Alameda,2020,10,13,0.4769230769230769,12.0,,13.0,981.0,16.959230769230768,-0.8660254037844386,0.5000000000000001,335.6666666666667,0,2020-10-01,65
Alameda,2020,11,12,0.8291666666666666,3.0,,13.0,13.0,0.4769230769230769,-0.5000000000000004,0.8660254037844384,12.666666666666666,0,2020-11-01,66
Alpine,2016,8,62,24.990161290322582,19.0,0.0,1.0,810.0,3.66,-0.8660254037844384,-0.5000000000000004,291.0,1,2016-08-01,67
Alpine,2016,9,19,5.987894736842105,1.0,0.0,62.0,1.0,24.990161290322582,-1.0,-1.8369701987210294e-16,27.333333333333332,1,2016-09-01,68
Alpine,2017,3,1,8.7,131.0,1.0,19.0,62.0,5.987894736842105,1.0,6.123233995736766e-17,27.333333333333332,1,2017-03-01,69
Alpine,2017,8,131,11.090152671755725,189.0,1.0,1.0,19.0,8.7,-0.8660254037844384,-0.5000000000000004,50.333333333333336,1,2017-08-01,70
Alpine,2017,9,189,9.044497354497356,1864.0,1.0,131.0,1.0,11.090152671755725,-1.0,-1.8369701987210294e-16,107.0,1,2017-09-01,71
Alpine,2018,8,1864,8.509833690987124,33.0,0.0,189.0,131.0,9.044497354497356,-0.8660254037844384,-0.5000000000000004,728.0,1,2018-08-01,72
Alpine,2018,9,33,2.455757575757576,2.0,0.0,1864.0,189.0,8.509833690987124,-1.0,-1.8369701987210294e-16,695.3333333333334,1,2018-09-01,73
Alpine,2018,11,2,0.845,6.0,0.0,33.0,1864.0,2.455757575757576,-0.5000000000000004,0.8660254037844384,633.0,1,2018-11-01,74
Alpine,2019,6,6,4.19,10.0,0.0,2.0,33.0,0.845,1.2246467991473532e-16,-1.0,13.666666666666666,1,2019-06-01,75
Alpine,2019,7,10,13.732,1.0,0.0,6.0,2.0,4.19,-0.4999999999999998,-0.8660254037844388,6.0,1,2019-07-01,76
Alpine,2019,8,1,0.55,9.0,0.0,10.0,6.0,13.732,-0.8660254037844384,-0.5000000000000004,5.666666666666667,1,2019-08-01,77
Alpine,2019,9,9,6.1066666666666665,2.0,0.0,1.0,10.0,0.55,-1.0,-1.8369701987210294e-16,6.666666666666667,1,2019-09-01,78
Alpine,2020,7,2,1.325,54.0,,9.0,1.0,6.1066666666666665,-0.4999999999999998,-0.8660254037844388,4.0,1,2020-07-01,79
