NAME,year,month,fire_count,avg_frp,next_month_fire,label_next_month,fire_last_1,fire_last_2,frp_last_1,month_sin,month_cos,fire_rolling_3
Butte,2018,2,42,6.417380952380953,6.0,0,8.0,8.0,2.58,0.8660254037844386,0.5000000000000001,19.333333333333332
Butte,2018,3,6,3.5383333333333336,30.0,0,42.0,8.0,6.417380952380953,1.0,6.123233995736766e-17,18.666666666666668
Butte,2018,4,30,6.4863333333333335,13.0,0,6.0,42.0,3.5383333333333336,0.8660254037844387,-0.49999999999999983,26.0
Butte,2018,5,13,7.1084615384615395,26.0,0,30.0,6.0,6.4863333333333335,0.49999999999999994,-0.8660254037844387,16.333333333333332
Butte,2018,6,26,8.152307692307692,11.0,0,13.0,30.0,7.1084615384615395,1.2246467991473532e-16,-1.0,23.0
Butte,2018,7,11,4.732727272727273,8.0,0,26.0,13.0,8.152307692307692,-0.4999999999999998,-0.8660254037844388,16.666666666666668
Butte,2018,8,8,7.78,38.0,0,11.0,26.0,4.732727272727273,-0.8660254037844384,-0.5000000000000004,15.0
Butte,2018,9,38,8.284210526315789,105.0,1,8.0,11.0,7.78,-1.0,-1.8369701987210297e-16,19.0
Butte,2018,10,105,8.164190476190477,4660.0,1,38.0,8.0,8.284210526315789,-0.8660254037844386,0.5000000000000001,50.333333333333336
Butte,2018,11,4660,21.715060085836907,13.0,0,105.0,38.0,8.164190476190477,-0.5000000000000004,0.8660254037844384,1601.0
Butte,2018,12,13,5.105384615384616,14.0,0,4660.0,105.0,21.715060085836907,-2.4492935982947064e-16,1.0,1592.6666666666667
Butte,2019,1,14,4.892142857142857,12.0,0,13.0,4660.0,5.105384615384616,0.49999999999999994,0.8660254037844387,1562.3333333333333
Butte,2019,3,12,4.034166666666667,20.0,0,14.0,13.0,4.892142857142857,1.0,6.123233995736766e-17,13.0
Butte,2019,4,20,5.618,32.0,0,12.0,14.0,4.034166666666667,0.8660254037844387,-0.49999999999999983,15.333333333333334
Butte,2019,5,32,5.50625,59.0,1,20.0,12.0,5.618,0.49999999999999994,-0.8660254037844387,21.333333333333332
Butte,2019,6,59,8.212881355932204,35.0,0,32.0,20.0,5.50625,1.2246467991473532e-16,-1.0,37.0
Butte,2019,7,35,7.863714285714286,12.0,0,59.0,32.0,8.212881355932204,-0.4999999999999998,-0.8660254037844388,42.0
Butte,2019,8,12,5.409166666666667,56.0,1,35.0,59.0,7.863714285714286,-0.8660254037844384,-0.5000000000000004,35.333333333333336
Butte,2019,9,56,5.898392857142857,116.0,1,12.0,35.0,5.409166666666667,-1.0,-1.8369701987210297e-16,34.333333333333336
Butte,2019,10,116,11.182586206896552,75.0,1,56.0,12.0,5.898392857142857,-0.8660254037844386,0.5000000000000001,61.333333333333336
Butte,2019,11,75,7.768933333333333,30.0,0,116.0,56.0,11.182586206896552,-0.5000000000000004,0.8660254037844384,82.33333333333333
Butte,2019,12,30,5.206,5.0,0,75.0,116.0,7.768933333333333,-2.4492935982947064e-16,1.0,73.66666666666667
Butte,2020,1,5,2.962,53.0,1,30.0,75.0,5.206,0.49999999999999994,0.8660254037844387,36.666666666666664
Butte,2020,2,53,4.994716981132075,67.0,1,5.0,30.0,2.962,0.8660254037844386,0.5000000000000001,29.333333333333332
Butte,2020,3,67,7.110298507462686,48.0,1,53.0,5.0,4.994716981132075,1.0,6.123233995736766e-17,41.666666666666664
Butte,2020,4,48,3.56875,31.0,0,67.0,53.0,7.110298507462686,0.8660254037844387,-0.49999999999999983,56.0
Butte,2020,5,31,5.836451612903226,16.0,0,48.0,67.0,3.56875,0.49999999999999994,-0.8660254037844387,48.666666666666664
Butte,2020,6,16,5.950625,13.0,0,31.0,48.0,5.836451612903226,1.2246467991473532e-16,-1.0,31.666666666666668
Butte,2020,7,13,15.553076923076922,160.0,1,16.0,31.0,5.950625,-0.4999999999999998,-0.8660254037844388,20.0
Butte,2020,8,160,8.5085625,3993.0,1,13.0,16.0,15.553076923076922,-0.8660254037844384,-0.5000000000000004,63.0
