NAME,year,month,avg_pm25,next_month_pm25,label_next_month_pm25,pm25_lag1,pm25_lag2,pm25_rolling3,month_sin,month_cos,fire_count,avg_frp,fire_last_1,fire_last_2,frp_last_1,fire_rolling_3,label_next_month
Sutter,2015,10,8.942857142857143,10.348275862068968,0,8.76206896551724,9.385714285714286,8.201642036124795,-0.8660254037844386,0.5000000000000001,104,12.858942307692306,33.0,18.0,8.926363636363636,51.666666666666664,0
Sutter,2015,11,10.348275862068968,9.771428571428572,0,8.942857142857143,8.76206896551724,9.030213464696224,-0.5000000000000004,0.8660254037844384,33,7.906060606060605,104.0,33.0,12.858942307692306,56.666666666666664,0
Sutter,2015,12,9.771428571428572,7.046666666666667,0,10.348275862068968,8.942857142857143,9.351067323481118,-2.4492935982947064e-16,1.0,5,4.514,33.0,104.0,7.906060606060605,47.333333333333336,0
Sutter,2016,2,8.734615384615385,4.133333333333334,0,7.046666666666667,9.771428571428572,9.055457033388068,0.8660254037844386,0.5000000000000001,11,4.017272727272727,5.0,33.0,4.514,16.333333333333332,0
Sutter,2016,3,4.133333333333334,4.92,0,8.734615384615385,7.046666666666667,8.517570207570207,1.0,6.123233995736766e-17,7,4.395714285714286,11.0,5.0,4.017272727272727,7.666666666666667,0
Sutter,2016,4,4.92,5.9,0,4.133333333333334,8.734615384615385,6.638205128205128,0.8660254037844387,-0.4999999999999998,31,6.40483870967742,7.0,11.0,4.395714285714286,16.333333333333332,0
Sutter,2016,5,5.9,8.076666666666666,0,4.92,4.133333333333334,5.92931623931624,0.4999999999999999,-0.8660254037844387,2,0.78,31.0,7.0,6.40483870967742,13.333333333333334,0
Sutter,2016,6,8.076666666666666,7.741935483870968,0,5.9,4.92,4.984444444444445,1.2246467991473532e-16,-1.0,6,8.531666666666666,2.0,31.0,0.78,13.0,0
Sutter,2016,7,7.741935483870968,8.067857142857143,0,8.076666666666666,5.9,6.298888888888889,-0.4999999999999998,-0.8660254037844388,12,6.81,6.0,2.0,8.531666666666666,6.666666666666667,0
Sutter,2016,8,8.067857142857143,10.46551724137931,0,7.741935483870968,8.076666666666666,7.239534050179212,-0.8660254037844384,-0.5000000000000004,24,8.513333333333334,12.0,6.0,6.81,14.0,1
Sutter,2016,9,10.46551724137931,7.36551724137931,0,8.067857142857143,7.741935483870968,7.96215309779826,-1.0,-1.8369701987210294e-16,86,9.593255813953489,24.0,12.0,8.513333333333334,40.666666666666664,1
Sutter,2016,10,7.36551724137931,10.166666666666666,0,10.46551724137931,8.067857142857143,8.758436622702474,-0.8660254037844386,0.5000000000000001,111,9.296396396396398,86.0,24.0,9.593255813953489,73.66666666666667,1
Sutter,2016,11,10.166666666666666,15.226666666666668,1,7.36551724137931,10.46551724137931,8.632963875205254,-0.5000000000000004,0.8660254037844384,65,10.962153846153846,111.0,86.0,9.296396396396398,87.33333333333333,0
Sutter,2016,12,15.226666666666668,6.889285714285714,0,10.166666666666666,7.36551724137931,9.332567049808429,-2.4492935982947064e-16,1.0,4,4.5024999999999995,65.0,111.0,10.962153846153846,60.0,0
Sutter,2017,2,4.373913043478261,5.416129032258064,0,6.889285714285714,15.226666666666668,10.760873015873017,0.8660254037844386,0.5000000000000001,2,2.325,4.0,65.0,4.5024999999999995,23.666666666666668,0
Sutter,2017,3,5.416129032258064,4.083333333333333,0,4.373913043478261,6.889285714285714,8.829955141476882,1.0,6.123233995736766e-17,3,3.77,2.0,4.0,2.325,3.0,0
Sutter,2017,4,4.083333333333333,5.373333333333334,0,5.416129032258064,4.373913043478261,5.559775930007347,0.8660254037844387,-0.4999999999999998,18,4.621666666666666,3.0,2.0,3.77,7.666666666666667,0
Sutter,2017,5,5.373333333333334,5.7,0,4.083333333333333,5.416129032258064,4.624458469689887,0.4999999999999999,-0.8660254037844387,27,7.34,18.0,3.0,4.621666666666666,16.0,0
Sutter,2017,6,5.7,8.48076923076923,0,5.373333333333334,4.083333333333333,4.957598566308244,1.2246467991473532e-16,-1.0,7,7.140000000000001,27.0,18.0,7.34,17.333333333333332,0
Sutter,2017,7,8.48076923076923,12.454545454545457,1,5.7,5.373333333333334,5.052222222222222,-0.4999999999999998,-0.8660254037844388,28,8.826071428571428,7.0,27.0,7.140000000000001,20.666666666666668,0
Sutter,2017,8,12.454545454545457,13.385714285714286,1,8.48076923076923,5.7,6.518034188034188,-0.8660254037844384,-0.5000000000000004,33,9.32,28.0,7.0,8.826071428571428,22.666666666666668,1
Sutter,2017,9,13.385714285714286,14.64516129032258,1,12.454545454545457,8.48076923076923,8.87843822843823,-1.0,-1.8369701987210294e-16,67,6.728208955223881,33.0,28.0,9.32,42.666666666666664,1
Sutter,2017,10,14.64516129032258,9.910344827586206,0,13.385714285714286,12.454545454545457,11.440342990342993,-0.8660254037844386,0.5000000000000001,65,6.011692307692307,67.0,33.0,6.728208955223881,55.0,0
Sutter,2017,11,9.910344827586206,19.96451612903226,1,14.64516129032258,13.385714285714286,13.49514034352744,-0.5000000000000004,0.8660254037844384,22,8.092727272727272,65.0,67.0,6.011692307692307,51.333333333333336,0
Sutter,2017,12,19.96451612903226,12.85,1,9.910344827586206,14.64516129032258,12.647073467874357,-2.4492935982947064e-16,1.0,20,26.0135,22.0,65.0,8.092727272727272,35.666666666666664,0
Sutter,2018,1,12.85,8.417857142857143,0,19.96451612903226,9.910344827586206,14.840007415647015,0.4999999999999999,0.8660254037844387,2,6.78,20.0,22.0,26.0135,14.666666666666666,1
Sutter,2018,2,8.417857142857143,4.4399999999999995,0,12.85,19.96451612903226,14.24162031887282,0.8660254037844386,0.5000000000000001,75,6.587466666666667,2.0,20.0,6.78,32.333333333333336,0
